Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Solar Azimuth Angle [deg](TimeStep),Environment:Site Solar Altitude Angle [deg](TimeStep),OUTSIDELIGHTSSCHEDULE:Exterior Lights Electric Energy [J](Hourly),OUTSIDELIGHTSSCHEDULE:Exterior Lights Electric Energy [J](Daily),OUTSIDELIGHTSSCHEDULE:Exterior Lights Electric Energy [J](Monthly),OUTSIDELIGHTSSCHEDULE:Exterior Lights Electric Energy [J](RunPeriod),OUTSIDELIGHTSSCHEDULE:Exterior Lights Electric Energy [J](Annual),OUTSIDELIGHTSSCHEDULE2:Exterior Lights Electric Energy [J](Hourly),OUTSIDELIGHTSSCHEDULE2:Exterior Lights Electric Energy [J](Daily),OUTSIDELIGHTSSCHEDULE2:Exterior Lights Electric Energy [J](Monthly),OUTSIDELIGHTSSCHEDULE2:Exterior Lights Electric Energy [J](RunPeriod),OUTSIDELIGHTSSCHEDULE2:Exterior Lights Electric Energy [J](Annual),Cumulative ExteriorLights:Electricity [J](Hourly) 
 12/21  00:15:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,13.507093857593509,-73.36034265353104 
 12/21  00:30:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,24.762814811173528,-72.41218276959705 
 12/21  00:45:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,34.73513241873576,-70.9780953295114 
 12/21  01:00:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,43.31479543257732,-69.1596826947252,3600000.0,,,,,1800000.0,,,,,5400000.0 
 12/21  01:15:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,50.61149398966506,-67.05005423620765 
 12/21  01:30:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,56.82306917710303,-64.72429481809574 
 12/21  01:45:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,62.15565724539345,-62.23922546141797 
 12/21  02:00:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,66.79008349100381,-59.63673329680509,3600000.0,,,,,1800000.0,,,,,10800000.0 
 12/21  02:15:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,70.87372645678687,-56.947558476502148 
 12/21  02:30:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,74.52293296833902,-54.19444420548307 
 12/21  02:45:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,77.82852888786457,-51.394479714620917 
 12/21  03:00:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,80.86141012549455,-48.56076520246243,3600000.0,,,,,1800000.0,,,,,16200000.0 
 12/21  03:15:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,83.67725613166395,-45.70357627651932 
 12/21  03:30:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,86.32022469627928,-42.831177768999307 
 12/21  03:45:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,88.82575798285757,-39.95039691228246 
 12/21  04:00:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,91.22268698487086,-37.06703223542275,3600000.0,,,,,1800000.0,,,,,21600000.0 
 12/21  04:15:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,93.53480568899302,-34.186150057072179 
 12/21  04:30:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,95.7820519509434,-31.31230361917045 
 12/21  04:45:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,97.98139860957835,-28.449698603892114 
 12/21  05:00:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,100.14753102316044,-25.602321239644984,3600000.0,,,,,1800000.0,,,,,27000000.0 
 12/21  05:15:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,102.2933664107292,-22.774040165589505 
 12/21  05:30:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,104.43045504644747,-19.96868983237432 
 12/21  05:45:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,106.5692921888305,-17.190140903896379 
 12/21  06:00:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,108.71956150662366,-14.442361519302434,3600000.0,,,,,1800000.0,,,,,32400000.0 
 12/21  06:15:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,110.89032481870577,-11.729472130916694 
 12/21  06:30:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,113.09016855599548,-9.055795788320485 
 12/21  06:45:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,115.32731401956122,-6.425905079423686 
 12/21  07:00:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,117.60969592824162,-3.8446663873399458,3600000.0,,,,,1800000.0,,,,,37800000.0 
 12/21  07:15:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,119.94501170067896,-1.317281620052544 
 12/21  07:30:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,122.34074225939877,1.1506729243470529 
 12/21  07:45:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,124.80414380228128,3.553211412232509 
 12/21  08:00:00,-20.0,-20.00000101265927,-20.000000074348013,0.0,0.0,127.34220894200986,5.8839084677299449,3600000.0,,,,,1800000.0,,,,,43200000.0 
